time,angle_deg,tsr,cp,cd,ct,cd_blade1,ct_blade1,cd_blade2,ct_blade2,cd_blade3,ct_blade3
1.096,79.5418,7,0.539216,0.785998,0.0770309,0.262015,0.0256795,0.261981,0.0256742,0.262001,0.0256772
1.1097,80.5361,7,0.539457,0.786287,0.0770653,0.262088,0.0256847,0.262088,0.02569,0.26211,0.0256906
1.1234,81.5304,7,0.539698,0.786575,0.0770997,0.262196,0.0256981,0.262177,0.0257011,0.262202,0.0257005
1.1371,82.5246,7,0.539968,0.786888,0.0771382,0.262297,0.025713,0.262274,0.025711,0.262317,0.0257142
1.1508,83.5189,7,0.540164,0.787171,0.0771663,0.262385,0.0257199,0.262389,0.0257249,0.262398,0.0257216
1.1645,84.5132,7,0.540441,0.787509,0.0772058,0.262502,0.0257369,0.262496,0.02574,0.26251,0.025729
1.1782,85.5075,7,0.5408,0.787865,0.0772571,0.262607,0.0257485,0.262604,0.0257523,0.262654,0.0257562
1.1919,86.5017,7,0.541024,0.788195,0.0772892,0.262715,0.0257603,0.262727,0.025764,0.262752,0.0257649
1.2056,87.496,7,0.54136,0.788567,0.0773371,0.26285,0.0257792,0.262846,0.0257769,0.26287,0.025781
1.2193,88.4903,7,0.541664,0.788934,0.0773806,0.262974,0.0257911,0.26297,0.0257939,0.262989,0.0257955
1.233,89.4845,7,0.54202,0.78933,0.0774314,0.263115,0.0258079,0.2631,0.0258149,0.263115,0.0258086
1.2467,90.4788,7,0.542196,0.789682,0.0774566,0.263245,0.0258207,0.263213,0.0258212,0.263224,0.0258148
1.2604,91.4731,7,0.542445,0.790057,0.0774921,0.263341,0.0258294,0.26336,0.0258334,0.263357,0.0258294
1.2741,92.4674,7,0.542873,0.790523,0.0775532,0.263478,0.0258432,0.26351,0.0258535,0.263536,0.0258566
1.2878,93.4616,7,0.543205,0.79094,0.0776007,0.263633,0.025861,0.263646,0.0258708,0.263662,0.025869
1.3015,94.4559,7,0.543384,0.791311,0.0776263,0.263763,0.0258716,0.263771,0.0258789,0.263777,0.0258758
1.3152,95.4502,7,0.54372,0.791781,0.0776743,0.263931,0.0258941,0.263918,0.0258927,0.263933,0.0258874
1.3289,96.4445,7,0.544068,0.792245,0.077724,0.264058,0.0259024,0.264082,0.0259135,0.264105,0.0259081
1.3426,97.4387,7,0.544352,0.79271,0.0777646,0.264226,0.0259164,0.264232,0.0259239,0.264252,0.0259243
1.3563,98.433,7,0.544581,0.793168,0.0777972,0.264393,0.0259324,0.26439,0.0259353,0.264385,0.0259295
